name_with_owner,url,stars,created_at,pushed_at,closed_issues,total_issues,age_years,age_days,merged_pull_requests,releases,days_since_update,primary_language,closed_issues_ratio
doocs/leetcode,https://github.com/doocs/leetcode,36473,2018-09-16T14:03:03+00:00,2026-08-16T15:49:01+00:00,60,64,7.92,2893.36,4703,21,2.29,Java,0.9375
nextcloud/server,https://github.com/nextcloud/server,36468,2016-06-02T07:44:14+00:00,2026-08-18T22:21:27+00:00,18818,21460,10.21,3729.63,34171,462,0.02,PHP,0.8769
songquanpeng/one-api,https://github.com/songquanpeng/one-api,36467,2023-04-22T12:39:24+00:00,2026-01-09T03:26:43+00:00,900,1832,3.32,1214.42,287,55,221.81,JavaScript,0.4913
glanceapp/glance,https://github.com/glanceapp/glance,36451,2024-04-27T18:55:38+00:00,2026-05-30T20:36:29+00:00,298,534,2.31,843.16,110,34,80.09,Go,0.5581
open-guides/og-aws,https://github.com/open-guides/og-aws,36440,2016-07-13T17:30:16+00:00,2024-08-16T02:51:54+00:00,89,229,10.1,3688.22,498,0,732.83,Shell,0.3886
blader/humanizer,https://github.com/blader/humanizer,36386,2026-01-18T05:30:15+00:00,2026-08-18T00:59:37+00:00,87,93,0.58,212.72,23,4,0.91,Python,0.9355
inkonchain/ink-kit,https://github.com/inkonchain/ink-kit,36384,2024-11-04T16:32:17+00:00,2025-10-20T15:44:41+00:00,3,5,1.79,652.26,91,0,302.29,TypeScript,0.6
GorvGoyl/Clone-Wars,https://github.com/GorvGoyl/Clone-Wars,36374,2020-12-02T11:10:16+00:00,2024-08-06T12:31:36+00:00,70,90,5.71,2085.48,130,0,742.43,Undefined,0.7778
ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,36368,2021-01-02T12:08:37+00:00,2025-08-01T11:54:09+00:00,26,76,5.62,2054.44,3,0,382.45,Undefined,0.3421
tinyhumansai/openhuman,https://github.com/tinyhumansai/openhuman,36362,2026-02-18T20:01:27+00:00,2026-08-18T16:50:54+00:00,1707,1869,0.5,181.12,3006,56,0.25,Rust,0.9133
formulahendry/955.WLB,https://github.com/formulahendry/955.WLB,36358,2019-03-27T23:53:37+00:00,2025-02-03T05:15:20+00:00,82,262,7.39,2700.95,18,0,561.73,Undefined,0.313
SheetJS/sheetjs,https://github.com/SheetJS/sheetjs,36321,2012-12-03T19:25:52+00:00,2024-04-18T08:06:46+00:00,2266,2385,13.71,5006.14,106,0,852.61,Undefined,0.9501
HKUDS/DeepTutor,https://github.com/HKUDS/DeepTutor,36305,2025-12-28T15:35:54+00:00,2026-08-17T03:23:09+00:00,290,366,0.64,233.3,274,67,1.81,Python,0.7923
reworkd/AgentGPT,https://github.com/reworkd/AgentGPT,36304,2023-04-07T02:29:19+00:00,2025-04-29T01:19:32+00:00,337,469,3.37,1229.85,541,12,476.89,TypeScript,0.7186
keycloak/keycloak,https://github.com/keycloak/keycloak,36265,2013-07-02T13:38:51+00:00,2026-08-18T20:50:33+00:00,17258,19927,13.13,4795.38,21005,111,0.08,Java,0.8661
microsoft/playwright-mcp,https://github.com/microsoft/playwright-mcp,36250,2025-03-21T17:48:36+00:00,2026-08-17T22:52:05+00:00,876,877,1.41,515.21,540,69,1.0,TypeScript,0.9989
ItzCrazyKns/Vane,https://github.com/ItzCrazyKns/Vane,36239,2024-04-09T10:51:32+00:00,2026-04-11T14:33:06+00:00,444,674,2.36,861.5,87,34,129.34,TypeScript,0.6588
